id,region_id,store_id,deal_id,status,platform_category_id
364,54,62,37,0,13
365,54,62,38,0,13
366,54,62,39,0,13
367,54,62,40,0,13
368,54,62,41,0,13
369,54,62,42,0,13
370,54,89,1,0,3
371,54,89,3,0,13
372,54,89,4,0,5
373,54,89,5,0,14
374,54,89,6,0,4
375,54,89,7,0,4
376,54,89,8,0,4
377,54,89,9,0,4
378,54,89,10,0,4
379,54,89,11,0,4
380,54,89,12,0,4
381,54,89,13,0,3
382,54,89,14,0,3
383,54,89,15,0,3
384,54,89,16,0,3
385,54,89,17,0,13
386,54,89,18,0,13
387,54,89,19,0,13
388,54,89,20,0,13
389,54,89,21,0,13
390,54,89,22,0,4
391,54,89,23,0,4
392,54,89,24,0,4
393,54,89,25,0,4
394,54,89,26,0,4
395,54,89,27,0,4
396,54,89,28,0,4
397,54,89,29,0,3
398,54,89,30,0,3
399,54,89,31,0,3
400,54,89,32,0,3
401,54,89,33,0,13
402,54,89,34,0,13
403,54,89,35,0,13
404,54,89,36,0,13
405,54,89,37,0,13
406,54,89,38,0,13
407,54,89,39,0,13
408,54,89,40,0,13
409,54,89,41,0,13
410,54,89,42,0,13
411,54,88,1,0,3
412,54,88,3,0,13
413,54,88,4,0,5
414,54,88,5,0,14
415,54,88,6,0,4
416,54,88,7,0,4
417,54,88,8,0,4
418,54,88,9,0,4
419,54,88,10,0,4
420,54,88,11,0,4
421,54,88,12,0,4
422,54,88,13,0,3
423,54,88,14,0,3
424,54,88,15,0,3
425,54,88,16,0,3
426,54,88,17,0,13
427,54,88,18,0,13
428,54,88,19,0,13
429,54,88,20,0,13
430,54,88,21,0,13
431,54,88,22,0,4
432,54,88,23,0,4
433,54,88,24,0,4
434,54,88,25,0,4
435,54,88,26,0,4
436,54,88,27,0,4
437,54,88,28,0,4
438,54,88,29,0,3
439,54,88,30,0,3
440,54,88,31,0,3
441,54,88,32,0,3
442,54,88,33,0,13
443,54,88,34,0,13
444,54,88,35,0,13
445,54,88,36,0,13
446,54,88,37,0,13
447,54,88,38,0,13
448,54,88,39,0,13
449,54,88,40,0,13
450,54,88,41,0,13
451,54,88,42,0,13
452,54,64,1,0,3
453,54,64,3,0,13
454,54,64,4,0,5
455,54,64,5,0,14
456,54,64,6,0,4
457,54,64,7,0,4
458,54,64,8,0,4
459,54,64,9,0,4
460,54,64,10,0,4
461,54,64,11,0,4
462,54,64,12,0,4
463,54,64,13,0,3
464,54,64,14,0,3
465,54,64,15,0,3
466,54,64,16,0,3
467,54,64,17,0,13
468,54,64,18,0,13
469,54,64,19,0,13
470,54,64,20,0,13
471,54,64,21,0,13
472,54,64,22,0,4
473,54,64,23,0,4
474,54,64,24,0,4
475,54,64,25,0,4
476,54,64,26,0,4
477,54,64,27,0,4
478,54,64,28,0,4
479,54,64,29,0,3
480,54,64,30,0,3
481,54,64,31,0,3
482,54,64,32,0,3
483,54,64,33,0,13
484,54,64,34,0,13
485,54,64,35,0,13
486,54,64,36,0,13
487,54,64,37,0,13
488,54,64,38,0,13
489,54,64,39,0,13
490,54,64,40,0,13
491,54,64,41,0,13
492,54,64,42,0,13
493,54,97,1,0,3
494,54,97,3,0,13
495,54,97,4,0,5
496,54,97,5,0,14
497,54,97,6,0,4
498,54,97,7,0,4
499,54,97,8,0,4
500,54,97,9,0,4
501,54,97,10,0,4
502,54,97,11,0,4
503,54,97,12,0,4
504,54,97,13,0,3
505,54,97,14,0,3
506,54,97,15,0,3
507,54,97,16,0,3
508,54,97,17,0,13
509,54,97,18,0,13
510,54,97,19,0,13
511,54,97,20,0,13
512,54,97,21,0,13
513,54,97,22,0,4
514,54,97,23,0,4
515,54,97,24,0,4
516,54,97,25,0,4
517,54,97,26,0,4
518,54,97,27,0,4
519,54,97,28,0,4
520,54,97,29,0,3
521,54,97,30,0,3
522,54,97,31,0,3
523,54,97,32,0,3
524,54,97,33,0,13
525,54,97,34,0,13
526,54,97,35,0,13
527,54,97,36,0,13
528,54,97,37,0,13
529,54,97,38,0,13
530,54,97,39,0,13
531,54,97,40,0,13
532,54,97,41,0,13
533,54,97,42,0,13
534,54,63,1,0,3
535,54,63,3,0,13
536,54,63,4,0,5
537,54,63,5,0,14
538,54,63,6,0,4
539,54,63,7,0,4
540,54,63,8,0,4
541,54,63,9,0,4
542,54,63,10,0,4
543,54,63,11,0,4
544,54,63,12,0,4
545,54,63,13,0,3
546,54,63,14,0,3
547,54,63,15,0,3
548,54,63,16,0,3
549,54,63,17,0,13
550,54,63,18,0,13
551,54,63,19,0,13
552,54,63,20,0,13
553,54,63,21,0,13
554,54,63,22,0,4
555,54,63,23,0,4
556,54,63,24,0,4
557,54,63,25,0,4
558,54,63,26,0,4
559,54,63,27,0,4
560,54,63,28,0,4
561,54,63,29,0,3
562,54,63,30,0,3
563,54,63,31,0,3
564,54,63,32,0,3
565,54,63,33,0,13
566,54,63,34,0,13
567,54,63,35,0,13
568,54,63,36,0,13
569,54,63,37,0,13
570,54,63,38,0,13
571,54,63,39,0,13
572,54,63,40,0,13
573,54,63,41,0,13
574,54,63,42,0,13
575,54,104,1,0,3
576,54,104,3,0,13
577,54,104,4,0,5
578,54,104,5,0,14
579,54,104,6,0,4
580,54,104,7,0,4
581,54,104,8,0,4
582,54,104,9,0,4
583,54,104,10,0,4
584,54,104,11,0,4
585,54,104,12,0,4
586,54,104,13,0,3
587,54,104,14,0,3
588,54,104,15,0,3
589,54,104,16,0,3
590,54,104,17,0,13
591,54,104,18,0,13
592,54,104,19,0,13
593,54,104,20,0,13
594,54,104,21,0,13
595,54,104,22,0,4
596,54,104,23,0,4
597,54,104,24,0,4
598,54,104,25,0,4
599,54,104,26,0,4
600,54,104,27,0,4
601,54,104,28,0,4
602,54,104,29,0,3
603,54,104,30,0,3
604,54,104,31,0,3
605,54,104,32,0,3
606,54,104,33,0,13
607,54,104,34,0,13
608,54,104,35,0,13
609,54,104,36,0,13
610,54,104,37,0,13
611,54,104,38,0,13
612,54,104,39,0,13
613,54,104,40,0,13
614,54,104,41,0,13
615,54,104,42,0,13
616,54,60,1,0,3
617,54,60,3,0,13
618,54,60,4,0,5
619,54,60,5,0,14
620,54,60,6,0,4
621,54,60,7,0,4
622,54,60,8,0,4
623,54,60,9,0,4
624,54,60,10,0,4
625,54,60,11,0,4
626,54,60,12,0,4
627,54,60,13,0,3
628,54,60,14,0,3
629,54,60,15,0,3
630,54,60,16,0,3
631,54,60,17,0,13
632,54,60,18,0,13
633,54,60,19,0,13
634,54,60,20,0,13
635,54,60,21,0,13
636,54,60,22,0,4
637,54,60,23,0,4
638,54,60,24,0,4
639,54,60,25,0,4
640,54,60,26,0,4
641,54,60,27,0,4
642,54,60,28,0,4
643,54,60,29,0,3
644,54,60,30,0,3
645,54,60,31,0,3
646,54,60,32,0,3
647,54,60,33,0,13
648,54,60,34,0,13
649,54,60,35,0,13
650,54,60,36,0,13
651,54,60,37,0,13
652,54,60,38,0,13
653,54,60,39,0,13
654,54,60,40,0,13
655,54,60,41,0,13
656,54,60,42,0,13
657,54,65,1,0,3
658,54,65,3,0,13
659,54,65,4,0,5
660,54,65,5,0,14
661,54,65,6,0,4
662,54,65,7,0,4
663,54,65,8,0,4
664,54,65,9,0,4
665,54,65,10,0,4
666,54,65,11,0,4
667,54,65,12,0,4
668,54,65,13,0,3
